"id","edad","educacion","sexo","localidad","af","cfk","fe","mm","hrl","fm","jm","lc","tf","afi","vc","fa","ms","fas","ds"
"558","Entre 16 y 24 años","Secundaria COMPLETA","Mujer","Tapiales",2,1,-1,-1,-2,0,-1,0,0,0,-3,0,0,0,1
"559","Entre 16 y 24 años","Universitario INCOMPLETO","Mujer","Virrey del Pino",1,2,-1,-2,-1,0,0,0,0,0,-1,0,0,0,1
"560","55 años o más","Secundaria COMPLETA","Hombre","Ramos Mejía",1,2,1,-3,-2,1,-3,0,-3,-2,-3,-3,-2,0,1
"561","Entre 35 y 54 años","Secundaria COMPLETA","Hombre","Virrey del Pino",-1,-1,-1,-1,-1,0,0,0,0,0,3,0,0,0,-1
"562","Entre 35 y 54 años","Universitario INCOMPLETO","Mujer","Rafael Castillo",1,1,-1,-2,-2,0,2,0,0,-1,-1,0,0,0,-2
"563","55 años o más","Secundaria INCOMPLETA","Mujer","Ciudad Evita",1,3,1,-2,-2,-2,-2,0,0,0,-3,0,0,0,3
"564","Entre 25 y 34 años","Universitario COMPLETO","Hombre","San Justo",-3,-1,-3,-3,-2,1,-1,0,-1,-3,-3,-3,1,0,-3
"565","Entre 35 y 54 años","Secundaria COMPLETA","Mujer","González Catán",2,3,1,-3,-3,-3,-3,0,-3,0,-3,-2,-2,0,3
"566","Entre 35 y 54 años","Secundaria COMPLETA","Hombre","Virrey del Pino",2,2,2,-3,-2,1,-3,0,0,0,-2,0,-1,0,-2
"567","Entre 35 y 54 años","Secundaria COMPLETA","Hombre","González Catán",-1,2,-1,-3,-3,0,-3,0,0,-3,-3,0,-3,0,-3
"568","Entre 25 y 34 años","Universitario COMPLETO","Mujer","Ramos Mejía",-2,0,-3,-1,1,0,-3,0,0,0,-3,0,0,0,0
"569","55 años o más","Universitario INCOMPLETO","Hombre","Isidro Casanova",2,2,1,-3,-3,-2,-3,0,-1,0,-3,0,1,0,1
"570","Entre 35 y 54 años","Secundaria COMPLETA","Mujer","Isidro Casanova",3,-1,-1,-3,-3,0,-3,0,1,0,-3,-1,-1,0,2
"571","Entre 25 y 34 años","Secundaria COMPLETA","Hombre","Isidro Casanova",-1,-2,-2,-2,-1,-1,-1,0,-1,0,-3,0,0,0,-1
"572","Entre 25 y 34 años","Secundaria COMPLETA","Mujer","Ciudad Evita",-1,1,-3,-3,-3,0,-1,0,0,0,-3,0,-1,0,1
"573","Entre 35 y 54 años","Terciario COMPLETO","Mujer","Rafael Castillo",2,3,2,-3,-3,-2,-3,0,0,-3,-3,0,-1,0,1
"574","Entre 35 y 54 años","Universitario COMPLETO","Mujer","Ramos Mejía",2,1,1,-3,-3,-1,-3,0,0,0,-3,0,0,0,-1
"575","Entre 35 y 54 años","Universitario COMPLETO","Mujer","Ramos Mejía",-3,-3,-3,1,2,2,1,0,0,0,1,0,0,0,-1
"576","55 años o más","Terciario COMPLETO","Mujer","Ramos Mejía",-2,-2,-2,1,3,2,1,0,2,0,2,2,0,0,-3
"577","Entre 16 y 24 años","Universitario INCOMPLETO","Mujer","Ramos Mejía",1,3,2,-2,-3,-3,-3,0,0,-1,-3,0,0,0,-1
"578","Entre 16 y 24 años","Terciario INCOMPLETO","Mujer","Laferrere",3,1,0,2,2,0,0,0,0,1,0,1,0,0,1
"579","Entre 35 y 54 años","Terciario INCOMPLETO","Mujer","Isidro Casanova",-1,3,-1,-3,-3,-1,-3,0,0,-1,-3,-1,-3,-1,-1
"580","Entre 25 y 34 años","Secundaria COMPLETA","Mujer","Laferrere",1,1,-1,-3,-3,0,2,0,0,0,-3,0,0,0,1
"581","Entre 16 y 24 años","Secundaria COMPLETA","Mujer","Ciudad Evita",-2,-3,-3,-3,-2,-1,-3,0,0,0,-3,-1,-1,0,-3
"582","Entre 16 y 24 años","Terciario INCOMPLETO","Mujer","San Justo",-1,-1,-2,-2,-3,0,-3,0,0,0,-3,0,0,0,-2
"583","Entre 16 y 24 años","Secundaria COMPLETA","Mujer","González Catán",1,1,-3,-2,-1,-1,-2,0,0,0,-2,0,0,0,1
"584","Entre 25 y 34 años","Terciario COMPLETO","Mujer","San Justo",1,3,-1,-2,1,2,2,0,-2,-2,-3,0,-2,0,1
"585","Entre 35 y 54 años","Terciario COMPLETO","Mujer","San Justo",-3,-3,-2,2,1,1,-3,0,0,0,-3,0,0,0,-2
"586","Entre 35 y 54 años","Primaria COMPLETA","Mujer","Rafael Castillo",-3,-3,-3,-1,3,0,3,0,0,0,2,0,0,0,-1
"587","Entre 16 y 24 años","Universitario INCOMPLETO","Mujer","La Tablada",-3,3,-3,-3,-3,-3,-2,0,0,0,-3,0,2,0,0
"588","Entre 35 y 54 años","Secundaria INCOMPLETA","Mujer","Villa Celina",-3,-3,-3,-2,0,0,0,0,0,-2,1,0,-2,-1,-3
"589","Entre 16 y 24 años","Secundaria COMPLETA","Hombre","González Catán",-1,-2,-1,-2,-1,-3,-1,0,0,0,-3,0,0,0,-1
"590","Entre 35 y 54 años","Secundaria INCOMPLETA","Mujer","Isidro Casanova",-2,-3,-3,1,3,-2,3,0,0,1,2,0,-3,0,-2
"591","Entre 35 y 54 años","Secundaria COMPLETA","Mujer","Laferrere",1,2,-2,-3,-3,0,1,0,0,0,-3,1,1,0,1
"592","Entre 16 y 24 años","Secundaria COMPLETA","Mujer","González Catán",-1,3,-3,-3,-3,-3,1,0,0,0,0,0,0,0,1
"593","Entre 25 y 34 años","Universitario COMPLETO","Hombre","Ciudad Evita",2,3,-2,-3,3,0,1,0,0,0,-2,1,1,0,1
"594","Entre 25 y 34 años","Terciario INCOMPLETO","Mujer","San Justo",1,3,-1,-3,-3,-3,-3,0,0,0,-3,0,0,0,1
"595","Entre 25 y 34 años","Secundaria INCOMPLETA","Mujer","Ciudad Evita",3,3,1,-3,-3,1,-2,0,0,0,-3,0,0,0,1
"596","Entre 25 y 34 años","Secundaria COMPLETA","Hombre","Isidro Casanova",1,1,1,-2,-2,0,-2,0,0,0,-2,2,2,2,3
"597","Entre 35 y 54 años","Secundaria COMPLETA","Mujer","Laferrere",3,3,3,-3,3,0,-3,0,0,0,-3,0,0,0,3
"598","Entre 25 y 34 años","Universitario COMPLETO","Hombre","Ciudad Evita",-2,-1,-2,-3,-3,-2,-3,0,-1,-3,-3,0,-3,0,-2
"599","55 años o más","Terciario INCOMPLETO","Mujer","Villa Madero",3,3,-1,-2,-3,0,-3,0,0,0,-3,0,0,0,1
"600","Entre 35 y 54 años","Terciario COMPLETO","Mujer","San Justo",-3,-3,-3,-1,3,1,1,0,0,0,-2,0,1,0,2
"601","Entre 35 y 54 años","Secundaria INCOMPLETA","Mujer","Virrey del Pino",-3,-3,-1,-2,-1,0,-1,0,0,0,-3,-1,2,0,-1
"602","Entre 35 y 54 años","Secundaria INCOMPLETA","Hombre","Rafael Castillo",-3,-3,-3,-2,1,1,-3,0,1,-1,-1,-2,1,0,-3
"603","Entre 25 y 34 años","Primaria COMPLETA","Mujer","Isidro Casanova",2,2,2,1,0,0,0,0,0,0,1,0,0,0,2
"604","Entre 16 y 24 años","Universitario INCOMPLETO","Mujer","Ramos Mejía",1,-2,-2,1,2,1,-2,0,0,0,0,1,0,0,1
"605","Entre 35 y 54 años","Terciario COMPLETO","Hombre","Villa Madero",-1,1,-2,-3,-2,-1,-2,0,-2,0,-3,-3,0,0,-2
"606","Entre 16 y 24 años","Secundaria COMPLETA","Mujer","Ramos Mejía",-1,-1,0,-1,-1,0,1,0,0,0,-3,0,0,0,1
"607","Entre 35 y 54 años","Secundaria INCOMPLETA","Mujer","Laferrere",2,2,-2,-2,-1,0,0,0,0,0,2,0,-2,1,1
"608","55 años o más","Primaria INCOMPLETA","Mujer","Villa Celina",3,2,-1,-3,1,1,1,0,0,1,-2,0,1,0,2
"609","Entre 16 y 24 años","Secundaria INCOMPLETA","Mujer","San Justo",1,2,2,-3,0,0,0,0,0,0,-3,0,0,0,-1
"610","Entre 35 y 54 años","Terciario INCOMPLETO","Mujer","Laferrere",-1,-2,-3,1,1,0,0,0,0,0,-2,0,1,0,-1
